State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Churn_binary,Total_charge,Avg_Day_Call_Duration,Avg_Eve_Call_Duration,Avg_Night_Call_Duration,Avg_Intl_Call_Duration,Cust_Serv_Call_Rate,TotalServices,EngagementScore,CS_Calls_x_DayCharge,IntlPlan_x_IntlMins,IsNewCustomer,IsPremium,Total_Minutes,Day_Min_Per_Call,Intl_Plan_Bin,Critical_Intl_Interaction,Log_Total_Minutes,Account_Length_Sq
VT,43,408,No,No,0,135.8,125,23.09,163.2,88,13.87,229.8,106,10.34,12.6,3,3.4,0,False,0,50.699999999999996,1.0864,1.8545454545454545,2.167924528301887,4.2,0.0,1,43,0.0,0.0,0,0,541.4,1.086399913088007,0,0,6.296003736626186,1849
UT,117,510,No,Yes,20,205.7,98,34.97,136.1,107,11.57,159.4,147,7.17,8.7,3,2.35,2,False,0,56.06,2.0989795918367347,1.2719626168224298,1.0843537414965987,2.9,0.017094017094017096,2,234,69.94,0.0,0,0,509.8999999999999,2.0989793776551653,0,0,6.2361738763367525,13689
KY,108,408,No,No,0,73.8,105,12.55,143.4,114,12.19,170.2,98,7.66,10.9,3,2.94,2,False,0,35.34,0.7028571428571428,1.2578947368421054,1.736734693877551,3.6333333333333333,0.018518518518518517,1,108,25.1,0.0,0,0,398.29999999999995,0.7028570759183737,0,0,5.989713014069175,11664
VA,118,408,No,No,0,189.3,119,32.18,233.5,112,19.85,270.9,104,12.19,10.0,1,2.7,2,False,0,66.92,1.5907563025210085,2.0848214285714284,2.604807692307692,10.0,0.01694915254237288,1,118,64.36,0.0,0,0,703.7,1.5907561688440195,0,0,6.557772180332977,13924
AZ,62,408,No,Yes,42,137.3,95,23.34,184.2,94,15.66,231.4,70,10.41,10.2,3,2.75,0,False,0,52.16,1.445263157894737,1.9595744680851062,3.3057142857142856,3.4,0.0,2,124,0.0,0.0,0,0,563.1,1.445263005761789,0,0,6.33523154074593,3844
NY,86,510,No,No,0,70.7,125,12.02,211.0,113,17.94,174.6,107,7.86,0.0,0,0.0,2,False,0,37.82,0.5656,1.8672566371681416,1.6317757009345795,0.0,0.023255813953488372,1,86,24.04,0.0,0,0,456.29999999999995,0.5655999547520036,0,0,6.125339630664009,7396
VA,44,408,No,No,0,204.6,117,34.78,205.2,94,17.44,164.6,84,7.41,10.7,5,2.89,0,False,0,62.519999999999996,1.7487179487179487,2.182978723404255,1.9595238095238094,2.1399999999999997,0.0,1,44,0.0,0.0,0,0,585.1,1.7487177992548888,0,0,6.373490423482384,1936
MD,111,510,No,No,0,123.1,88,20.93,213.9,84,18.18,184.9,88,8.32,12.0,2,3.24,5,True,1,50.67,1.3988636363636362,2.5464285714285717,2.1011363636363636,6.0,0.04504504504504504,1,111,104.65,0.0,0,0,533.9,1.3988634774018776,0,0,6.282079813537204,12321
MA,127,510,No,Yes,19,129.7,115,22.05,160.8,101,13.67,265.0,63,11.93,12.2,3,3.29,2,False,0,50.94,1.1278260869565215,1.5920792079207922,4.2063492063492065,4.066666666666666,0.015748031496062992,2,254,44.1,0.0,0,0,567.7,1.1278259888846964,0,0,6.343353054312754,16129
IL,151,415,Yes,No,0,198.7,70,33.78,209.5,106,17.81,281.9,126,12.69,12.4,4,3.35,0,False,0,67.63,2.8385714285714285,1.9764150943396226,2.237301587301587,3.1,0.0,2,302,0.0,12.4,0,0,702.4999999999999,2.838571023061282,1,0,6.556067876554444,22801
PA,137,415,No,No,0,215.9,76,36.7,145.4,118,12.36,186.9,129,8.41,12.1,4,3.27,1,False,0,60.74,2.8407894736842105,1.2322033898305085,1.4488372093023256,3.025,0.0072992700729927005,1,137,36.7,0.0,0,0,560.3000000000001,2.840789099896171,0,0,6.330255521948153,18769
TN,106,415,No,No,0,119.2,142,20.26,228.4,139,19.41,197.9,61,8.91,8.4,9,2.27,2,False,0,50.85,0.8394366197183099,1.6431654676258993,3.2442622950819673,0.9333333333333333,0.018867924528301886,1,106,40.52,0.0,0,0,553.9,0.8394365606030592,0,0,6.318787917331855,11236
NJ,88,510,No,No,0,144.3,116,24.53,156.4,74,13.29,214.7,90,9.66,7.8,10,2.11,3,False,0,49.59,1.2439655172413795,2.1135135135135137,2.3855555555555554,0.78,0.03409090909090909,1,88,73.59,0.0,0,0,523.2,1.243965410002982,0,0,6.261873290889306,7744
VA,106,415,No,No,0,235.2,121,39.98,220.6,87,18.75,236.3,91,10.63,11.8,4,3.19,1,False,0,72.55,1.943801652892562,2.535632183908046,2.596703296703297,2.95,0.009433962264150943,1,106,39.98,0.0,0,1,703.8999999999999,1.9438014922478104,0,0,6.558055948779829,11236
NJ,57,510,Yes,No,0,115.0,65,19.55,122.3,96,10.4,245.0,75,11.03,6.4,1,1.73,0,True,1,42.71,1.7692307692307692,1.2739583333333333,3.2666666666666666,6.4,0.0,2,114,0.0,6.4,0,0,488.7,1.7692304970414618,1,0,6.193792958708272,3249
WA,184,408,No,No,0,151.7,93,25.79,178.5,77,15.17,229.1,111,10.31,13.1,8,3.54,2,False,0,54.81,1.6311827956989247,2.3181818181818183,2.063963963963964,1.6375,0.010869565217391304,1,184,51.58,0.0,0,0,572.4,1.6311826203029438,0,0,6.351583553449269,33856
AR,109,510,No,No,0,153.1,102,26.03,234.1,77,19.9,329.2,74,14.81,9.9,9,2.67,3,False,0,63.410000000000004,1.5009803921568627,3.04025974025974,4.448648648648648,1.1,0.027522935779816515,1,109,78.09,0.0,0,0,726.3,1.5009802450019367,0,0,6.589339047160495,11881
WI,127,415,No,No,0,218.6,93,37.16,149.9,130,12.74,204.6,131,9.21,9.2,5,2.48,2,False,0,61.589999999999996,2.350537634408602,1.153076923076923,1.5618320610687022,1.8399999999999999,0.015748031496062992,1,127,74.32,0.0,0,1,582.3000000000001,2.350537381662647,0,0,6.368701633759592,16129
ME,174,415,No,No,0,190.3,98,32.35,252.7,70,21.48,220.6,97,9.93,7.2,9,1.94,2,False,0,65.7,1.9418367346938776,3.61,2.2742268041237113,0.8,0.011494252873563218,1,174,64.7,0.0,0,0,670.8000000000001,1.9418365365472923,0,0,6.509960677178192,30276
CO,92,415,No,No,0,184.7,60,31.4,262.0,73,22.27,239.5,120,10.78,12.3,6,3.32,2,True,1,67.77,3.078333333333333,3.589041095890411,1.9958333333333333,2.0500000000000003,0.021739130434782608,1,92,62.8,0.0,0,0,698.5,3.078332820277863,0,0,6.550365794105536,8464
CO,81,408,No,No,0,115.3,99,19.6,224.7,117,19.1,152.5,98,6.86,18.0,2,4.86,1,False,0,50.42,1.1646464646464647,1.9205128205128204,1.5561224489795917,9.0,0.012345679012345678,1,81,19.6,0.0,0,0,510.5,1.1646463470054194,0,0,6.2373475853916815,6561
CT,119,408,No,No,0,294.2,100,50.01,232.5,53,19.76,195.0,64,8.78,9.0,1,2.43,0,True,1,80.98,2.9419999999999997,4.386792452830188,3.046875,9.0,0.0,1,119,0.0,0.0,0,1,730.7,2.941999705800029,0,0,6.595370593889984,14161
NC,122,415,No,No,0,215.6,86,36.65,167.8,59,14.26,207.0,67,9.32,6.4,8,1.73,3,False,0,61.959999999999994,2.5069767441860464,2.8440677966101697,3.08955223880597,0.8,0.02459016393442623,1,122,109.94999999999999,0.0,0,0,596.8,2.5069764526771565,0,0,6.393256249849838,14884
WY,34,408,No,No,0,128.8,80,21.9,208.7,93,17.74,202.1,103,9.09,14.0,7,3.78,1,False,0,52.510000000000005,1.61,2.2440860215053764,1.962135922330097,2.0,0.029411764705882353,1,34,21.9,0.0,0,0,553.6,1.6099997987500252,0,0,6.318247133181678,1156
FL,90,415,No,Yes,24,71.2,82,12.1,181.6,103,15.44,186.9,111,8.41,12.9,1,3.48,1,False,0,39.43,0.8682926829268293,1.7631067961165048,1.683783783783784,12.9,0.011111111111111112,2,180,12.1,0.0,0,0,452.6,0.8682925770374906,0,0,6.117215752413542,8100
KY,73,408,No,No,0,94.9,121,16.13,253.2,83,21.52,175.1,86,7.88,14.2,2,3.83,2,False,0,49.36,0.7842975206611571,3.0506024096385542,2.036046511627907,7.1,0.0273972602739726,1,73,32.26,0.0,0,0,537.4000000000001,0.7842974558431854,0,0,6.288601778330518,5329
SC,19,510,No,No,0,259.4,116,44.1,269.7,109,22.92,175.3,130,7.89,9.5,3,2.57,1,True,1,77.48,2.236206896551724,2.4743119266055045,1.3484615384615386,3.1666666666666665,0.05263157894736842,1,19,44.1,0.0,0,1,713.8999999999999,2.236206703775284,0,0,6.572142672772806,361
WA,120,408,No,Yes,28,215.8,123,36.69,285.2,76,24.24,192.1,78,8.64,6.9,3,1.86,1,False,0,71.42999999999999,1.7544715447154473,3.7526315789473683,2.462820512820513,2.3000000000000003,0.008333333333333333,2,240,36.69,0.0,0,0,700.0,1.754471402075496,0,0,6.55250788703459,14400
MT,160,415,No,No,0,97.5,113,16.58,268.1,69,22.79,255.3,62,11.49,13.2,4,3.56,3,False,0,54.42,0.8628318584070797,3.885507246376812,4.117741935483871,3.3,0.01875,1,160,49.739999999999995,0.0,0,0,634.1000000000001,0.8628317820502848,0,0,6.45378246680893,25600
PA,141,510,No,No,0,146.5,121,24.91,169.9,125,14.44,238.8,112,10.75,8.2,5,2.21,0,False,0,52.31,1.2107438016528926,1.3592,2.132142857142857,1.64,0.0,1,141,0.0,0.0,0,0,563.4000000000001,1.2107437015914295,0,0,6.335763219978659,19881
VT,72,415,No,No,0,139.9,117,23.78,223.6,96,19.01,240.8,93,10.84,12.7,4,3.43,2,False,0,57.06000000000001,1.1957264957264957,2.3291666666666666,2.589247311827957,3.175,0.027777777777777776,1,72,47.56,0.0,0,0,617.0,1.1957263935276587,0,0,6.42648845745769,5184
MN,117,408,No,Yes,21,153.2,112,26.04,263.3,110,22.38,135.0,85,6.08,11.9,7,3.21,1,False,0,57.71,1.3678571428571427,2.3936363636363636,1.588235294117647,1.7,0.008547008547008548,2,234,26.04,0.0,0,0,563.4,1.3678570207270515,0,0,6.335763219978659,13689
IL,79,408,Yes,No,0,103.5,134,17.6,319.3,111,27.14,239.9,124,10.8,8.4,4,2.27,2,False,0,57.81000000000001,0.7723880597014925,2.8765765765765767,1.9346774193548388,2.1,0.02531645569620253,2,158,35.2,8.4,0,0,671.1,0.7723880020605969,1,2,6.51040713897592,6241
AR,87,408,No,No,0,185.8,119,31.59,192.3,83,16.35,200.0,96,9.0,6.6,4,1.78,1,False,0,58.72,1.561344537815126,2.316867469879518,2.0833333333333335,1.65,0.011494252873563218,1,87,31.59,0.0,0,0,584.7,1.5613444066097137,0,0,6.372807713095737,7569
MD,102,415,No,No,0,129.5,56,22.02,354.2,118,30.11,145.5,93,6.55,10.9,3,2.94,1,False,0,61.61999999999999,2.3125,3.0016949152542374,1.564516129032258,3.6333333333333333,0.00980392156862745,1,102,22.02,0.0,0,0,640.1,2.312499587053645,0,0,6.463185450993212,10404
MT,49,408,No,No,0,236.6,91,40.22,220.9,146,18.78,146.8,114,6.61,8.9,2,2.4,1,False,0,68.01,2.6,1.513013698630137,1.287719298245614,4.45,0.02040816326530612,1,49,40.22,0.0,0,1,613.1999999999999,2.5999997142857456,0,0,6.420320608006722,2401
VT,67,408,No,No,0,260.4,107,44.27,208.2,104,17.7,207.9,115,9.36,10.0,2,2.7,6,False,0,74.03,2.433644859813084,2.001923076923077,1.8078260869565217,5.0,0.08955223880597014,1,67,265.62,0.0,0,1,686.5,2.4336446323696603,0,0,6.533061829540727,4489
CO,107,415,No,No,0,167.3,100,28.44,163.9,79,13.93,185.9,100,8.37,6.7,5,1.81,2,False,0,52.550000000000004,1.673,2.0746835443037974,1.859,1.34,0.018691588785046728,1,107,56.88,0.0,0,0,523.8000000000001,1.6729998327000168,0,0,6.26301723762988,11449
WA,118,510,No,No,0,113.0,80,19.21,150.1,87,12.76,204.3,115,9.19,10.8,4,2.92,2,False,0,44.08,1.4125,1.725287356321839,1.7765217391304349,2.7,0.01694915254237288,1,118,38.42,0.0,0,0,478.20000000000005,1.4124998234375221,0,0,6.1721180468012395,13924
TN,120,415,No,No,0,185.7,133,31.57,235.1,149,19.98,256.4,78,11.54,16.9,6,4.56,0,False,0,67.64999999999999,1.3962406015037594,1.5778523489932885,3.287179487179487,2.8166666666666664,0.0,1,120,0.0,0.0,0,0,694.0999999999999,1.3962404965232709,0,0,6.54405572010644,14400
AR,94,408,No,No,0,136.2,114,23.15,165.1,118,14.03,137.9,71,6.21,9.6,5,2.59,0,False,0,45.980000000000004,1.194736842105263,1.3991525423728812,1.9422535211267606,1.92,0.0,1,94,0.0,0.0,0,0,448.79999999999995,1.194736737303795,0,0,6.108803039525215,8836
DC,115,510,No,Yes,29,222.6,81,37.84,190.3,109,16.18,201.2,87,9.05,11.5,2,3.11,1,False,0,66.18,2.748148148148148,1.7458715596330276,2.3126436781609194,5.75,0.008695652173913044,2,230,37.84,0.0,0,1,625.5999999999999,2.7481478088706406,0,0,6.4403083785180915,13225
MN,61,415,No,No,0,197.3,67,33.54,264.5,106,22.48,210.5,116,9.47,9.0,6,2.43,1,False,0,67.92,2.9447761194029853,2.4952830188679247,1.8146551724137931,1.5,0.01639344262295082,1,61,33.54,0.0,0,0,681.3,2.944775679884227,0,0,6.525469443821378,3721
KS,110,510,No,No,0,208.0,69,35.36,95.1,94,8.08,178.5,129,8.03,8.0,11,2.16,1,False,0,53.629999999999995,3.0144927536231885,1.0117021276595743,1.3837209302325582,0.7272727272727273,0.00909090909090909,1,110,35.36,0.0,0,0,489.6,3.014492316740244,0,0,6.195629131824389,12100
ND,104,415,No,No,0,118.5,92,20.15,177.8,109,15.11,255.7,98,11.51,12.1,4,3.27,1,False,0,50.04,1.2880434782608696,1.6311926605504588,2.6091836734693876,3.025,0.009615384615384616,1,104,20.15,0.0,0,0,564.1,1.288043338256159,0,0,6.337002706635798,10816
MT,16,510,No,No,0,153.2,65,26.04,229.7,90,19.52,148.2,94,6.67,10.7,8,2.89,1,False,0,55.120000000000005,2.356923076923077,2.552222222222222,1.576595744680851,1.3375,0.0625,1,16,26.04,0.0,0,0,541.8,2.356922714319582,0,0,6.296740927960714,256
DC,147,408,No,No,0,168.6,92,28.66,187.7,107,15.95,216.5,95,9.74,14.4,8,3.89,2,False,0,58.24,1.8326086956521739,1.7542056074766355,2.278947368421053,1.8,0.013605442176870748,1,147,57.32,0.0,0,0,587.1999999999999,1.832608496455598,0,0,6.377067026119895,21609
MS,102,510,Yes,No,0,224.2,81,38.11,243.3,90,20.68,147.8,66,6.65,12.0,8,3.24,3,False,0,68.67999999999999,2.7679012345679013,2.7033333333333336,2.2393939393939397,1.5,0.029411764705882353,2,204,114.33,12.0,0,1,627.3,2.7679008928517415,1,3,6.443017759408901,10404
IA,64,415,No,Yes,43,118.4,100,20.13,144.1,108,12.25,158.1,91,7.11,8.5,6,2.3,1,False,0,41.78999999999999,1.1840000000000002,1.3342592592592593,1.7373626373626374,1.4166666666666667,0.015625,2,128,20.13,0.0,0,0,429.1,1.183999881600012,0,0,6.064017739789691,4096
AK,103,510,No,No,0,190.9,62,32.45,226.6,53,19.26,230.1,96,10.35,7.8,3,2.11,2,False,0,64.17000000000002,3.079032258064516,4.275471698113208,2.396875,2.6,0.019417475728155338,1,103,64.9,0.0,0,0,655.4,3.07903176144649,0,0,6.486770359215936,10609
MN,152,415,No,No,0,317.8,60,54.03,152.9,100,13.0,123.4,63,5.55,10.4,7,2.81,1,True,1,75.39,5.296666666666667,1.5290000000000001,1.9587301587301589,1.4857142857142858,0.006578947368421052,1,152,54.03,0.0,0,1,604.5,5.296665783889036,0,0,6.406054562993147,23104
WV,124,415,No,No,0,312.0,112,53.04,180.0,109,15.3,168.6,94,7.59,12.8,4,3.46,1,True,1,79.39,2.7857142857142856,1.651376146788991,1.7936170212765956,3.2,0.008064516129032258,1,124,53.04,0.0,0,1,673.4,2.785714036989818,0,0,6.513823406687646,15376
OR,97,415,No,No,0,146.0,121,24.82,203.0,141,17.26,151.8,120,6.83,13.3,2,3.59,1,False,0,52.5,1.2066115702479339,1.4397163120567376,1.2650000000000001,6.65,0.010309278350515464,1,97,24.82,0.0,0,0,514.1,1.2066114705279776,0,0,6.24436105657154,9409
MS,131,415,No,No,0,131.6,95,22.37,179.3,109,15.24,251.2,129,11.3,15.5,3,4.19,1,True,1,53.099999999999994,1.3852631578947368,1.644954128440367,1.9472868217054262,5.166666666666667,0.007633587786259542,1,131,22.37,0.0,0,0,577.5999999999999,1.3852630120775775,0,0,6.360611392542035,17161
ME,57,415,No,Yes,33,193.4,105,32.88,231.6,79,19.69,226.2,90,10.18,11.1,11,3.0,2,False,0,65.75,1.841904761904762,2.9316455696202532,2.513333333333333,1.009090909090909,0.03508771929824561,2,114,65.76,0.0,0,0,662.3000000000001,1.8419045864852774,0,0,6.4972273765315105,3249
MN,157,510,No,No,0,185.1,92,31.47,213.0,85,18.11,196.1,85,8.82,8.5,5,2.3,2,False,0,60.699999999999996,2.01195652173913,2.5058823529411764,2.307058823529412,1.7,0.012738853503184714,1,157,62.94,0.0,0,0,602.7,2.011956303048228,0,0,6.403077385802381,24649
GA,194,510,No,No,0,193.3,106,32.86,169.0,150,14.37,225.2,122,10.13,11.8,4,3.19,0,False,0,60.55,1.8235849056603775,1.1266666666666667,1.8459016393442622,2.95,0.0,1,194,0.0,0.0,0,0,599.3,1.8235847336240818,0,0,6.3974295302577975,37636
DC,66,415,No,No,0,146.4,107,24.89,196.5,99,16.7,230.1,106,10.35,7.8,2,2.11,1,False,0,54.050000000000004,1.3682242990654205,1.9848484848484849,2.170754716981132,3.9,0.015151515151515152,1,66,24.89,0.0,0,0,580.8,1.3682241711940026,0,0,6.366126746061101,4356
NY,123,415,No,No,0,123.2,104,20.94,190.0,117,16.15,170.3,95,7.66,12.9,5,3.48,4,True,1,48.23,1.1846153846153846,1.623931623931624,1.7926315789473686,2.58,0.032520325203252036,1,123,83.76,0.0,0,0,496.4,1.1846152707100701,0,0,6.209394531369305,15129
OK,116,510,No,No,0,205.0,90,34.85,140.9,114,11.98,272.6,96,12.27,7.5,4,2.03,2,False,0,61.129999999999995,2.2777777777777777,1.2359649122807017,2.8395833333333336,1.875,0.017241379310344827,1,116,69.7,0.0,0,0,626.0,2.2777775246913863,0,0,6.440946540632921,13456
OK,63,415,No,No,0,128.7,78,21.88,240.8,133,20.47,237.7,121,10.7,12.8,6,3.46,1,False,0,56.51,1.65,1.8105263157894738,1.9644628099173553,2.1333333333333333,0.015873015873015872,1,63,21.88,0.0,0,0,620.0,1.6499997884615654,0,0,6.431331081933479,3969
GA,64,510,No,No,0,216.9,78,36.87,211.0,115,17.94,179.8,116,8.09,11.4,5,3.08,3,False,0,65.98,2.7807692307692307,1.8347826086956522,1.55,2.2800000000000002,0.046875,1,64,110.60999999999999,0.0,0,1,619.1,2.7807688742604006,0,0,6.429880755355832,4096
NJ,96,510,No,No,0,150.0,122,25.5,218.5,116,18.57,212.4,89,9.56,9.8,1,2.65,3,False,0,56.28,1.2295081967213115,1.8836206896551724,2.3865168539325845,9.8,0.03125,1,96,76.5,0.0,0,0,590.6999999999999,1.2295080959419593,0,0,6.382999749682648,9216
ME,105,510,No,No,0,212.0,113,36.04,226.6,128,19.26,193.6,114,8.71,8.9,7,2.4,3,False,0,66.41,1.8761061946902655,1.7703125,1.6982456140350877,1.2714285714285716,0.02857142857142857,1,105,108.12,0.0,0,0,641.1,1.8761060286631832,0,0,6.464744054800002,11025
MI,53,510,No,Yes,37,167.3,99,28.44,194.7,99,16.55,236.7,112,10.65,12.0,9,3.24,2,False,0,58.88,1.68989898989899,1.9666666666666666,2.113392857142857,1.3333333333333333,0.03773584905660377,2,106,56.88,0.0,0,0,610.7,1.6898988192021396,0,0,6.416241966248519,2809
NE,129,510,No,Yes,30,177.3,95,30.14,211.8,102,18.0,240.2,108,10.81,9.3,7,2.51,3,False,0,61.46,1.8663157894736844,2.0764705882352943,2.224074074074074,1.3285714285714287,0.023255813953488372,2,258,90.42,0.0,0,0,638.5999999999999,1.8663155930194113,0,0,6.460842980959799,16641
VT,93,408,No,No,0,149.6,120,25.43,200.7,85,17.06,181.2,107,8.15,14.3,9,3.86,0,False,0,54.49999999999999,1.2466666666666666,2.361176470588235,1.6934579439252335,1.588888888888889,0.0,1,93,0.0,0.0,0,0,545.8,1.2466665627777864,0,0,6.304083104849794,8649
OH,115,510,Yes,No,0,345.3,81,58.7,203.4,106,17.29,217.5,107,9.79,11.8,8,3.19,1,True,1,88.97,4.2629629629629635,1.918867924528302,2.032710280373832,1.475,0.008695652173913044,2,230,58.7,11.8,0,1,778.0,4.262962436671304,1,1,6.658011045870748,13225
AL,25,408,No,No,0,264.9,80,45.03,281.2,66,23.9,166.1,80,7.47,8.4,4,2.27,1,True,1,78.67,3.31125,4.260606060606061,2.07625,2.1,0.04,1,25,45.03,0.0,0,1,720.5999999999999,3.311249586093801,0,0,6.581470968748413,625
DC,73,408,No,No,0,122.0,92,20.74,138.3,114,11.76,224.2,128,10.09,5.8,5,1.57,1,False,0,44.160000000000004,1.326086956521739,1.2131578947368422,1.7515625,1.16,0.0136986301369863,1,73,20.74,0.0,0,0,490.3,1.326086812381868,0,0,6.197054939174603,5329
DE,97,510,No,No,0,225.1,90,38.27,279.5,127,23.76,233.8,103,10.52,8.8,4,2.38,0,True,1,74.92999999999999,2.501111111111111,2.2007874015748032,2.2699029126213595,2.2,0.0,1,97,0.0,0.0,0,1,747.2,2.5011108332099075,0,0,6.617670321914046,9409
NY,148,408,No,No,0,208.4,120,35.43,174.4,99,14.82,310.7,105,13.98,11.2,4,3.02,1,False,0,67.25,1.7366666666666668,1.7616161616161616,2.959047619047619,2.8,0.006756756756756757,1,148,35.43,0.0,0,0,704.7,1.7366665219444566,0,0,6.559190218006784,21904
AL,85,408,No,Yes,30,173.1,107,29.43,247.2,101,21.01,158.7,104,7.14,11.5,5,3.11,1,False,0,60.69,1.6177570093457943,2.4475247524752475,1.5259615384615384,2.3,0.011764705882352941,2,170,29.43,0.0,0,0,590.5,1.6177568581535646,0,0,6.3826616834184415,7225
OK,86,510,Yes,No,0,162.4,131,27.61,167.0,102,14.2,128.9,118,5.8,11.4,2,3.08,2,True,1,50.69,1.2396946564885496,1.6372549019607843,1.0923728813559324,5.7,0.023255813953488372,2,172,55.22,11.4,0,0,469.69999999999993,1.239694561855377,1,2,6.154220948407096,7396
MS,78,415,No,Yes,13,281.2,93,47.8,178.2,101,15.15,244.2,129,10.99,6.4,5,1.73,2,False,0,75.67,3.0236559139784944,1.7643564356435641,1.8930232558139535,1.28,0.02564102564102564,2,156,95.6,0.0,0,1,709.9999999999999,3.0236555888542376,0,0,6.566672429803241,6084
MD,106,415,No,No,0,208.3,89,35.41,169.4,67,14.4,102.0,90,4.59,15.9,4,4.29,3,False,0,58.68999999999999,2.3404494382022474,2.528358208955224,1.1333333333333333,3.975,0.02830188679245283,1,106,106.22999999999999,0.0,0,0,495.6,2.3404491752304297,0,0,6.207784873074067,11236
AR,145,415,No,No,0,224.2,89,38.11,314.9,121,26.77,182.9,121,8.23,16.1,3,4.35,1,True,1,77.46,2.5191011235955054,2.602479338842975,1.5115702479338844,5.366666666666667,0.006896551724137931,1,145,38.11,0.0,0,1,738.0999999999999,2.5191008405504673,0,0,6.605433229790841,21025
IL,91,415,No,No,0,189.3,100,32.18,239.3,107,20.34,89.7,89,4.04,9.9,3,2.67,3,False,0,59.23,1.893,2.236448598130841,1.0078651685393258,3.3000000000000003,0.03296703296703297,1,91,96.53999999999999,0.0,0,0,528.2,1.892999810700019,0,0,6.271366432240801,8281
UT,116,415,No,Yes,24,232.9,90,39.59,152.1,94,12.93,344.3,82,15.49,10.7,6,2.89,1,False,0,70.9,2.5877777777777777,1.6180851063829786,4.1987804878048784,1.7833333333333332,0.008620689655172414,2,232,39.59,0.0,0,1,740.0,2.5877774902469457,0,0,6.608000625296087,13456
LA,69,415,No,Yes,37,155.0,98,26.35,142.4,105,12.1,143.7,117,6.47,5.9,4,1.59,1,False,0,46.510000000000005,1.5816326530612246,1.3561904761904762,1.228205128205128,1.475,0.014492753623188406,2,138,26.35,0.0,0,0,446.99999999999994,1.5816324916701539,0,0,6.104793232414985,4761
ID,135,510,No,No,0,154.4,130,26.25,203.8,90,17.32,158.7,59,7.14,11.8,3,3.19,0,False,0,53.9,1.1876923076923078,2.2644444444444445,2.689830508474576,3.9333333333333336,0.0,1,135,0.0,0.0,0,0,528.7,1.187692216331368,0,0,6.272310808550481,18225
KY,73,510,No,No,0,234.7,102,39.9,195.7,110,16.63,253.4,71,11.4,8.4,8,2.27,2,False,0,70.2,2.3009803921568626,1.779090909090909,3.5690140845070424,1.05,0.0273972602739726,1,73,79.8,0.0,0,1,692.1999999999999,2.3009801665705716,0,0,6.541318557841451,5329
MI,48,415,No,No,0,240.0,88,40.8,141.0,117,11.99,128.9,137,5.8,7.1,9,1.92,1,False,0,60.51,2.727272727272727,1.205128205128205,0.9408759124087591,0.7888888888888889,0.020833333333333332,1,48,40.8,0.0,0,1,517.0,2.727272417355407,0,0,6.249975242259483,2304
NH,125,415,Yes,No,0,298.4,78,50.73,270.5,142,22.99,107.3,84,4.83,12.2,2,3.29,0,True,1,81.84,3.8256410256410254,1.9049295774647887,1.2773809523809523,6.1,0.0,2,250,0.0,12.2,0,1,688.4,3.8256405351742897,1,0,6.535821654082765,15625
WV,100,415,No,No,0,166.0,102,28.22,236.1,97,20.07,134.3,93,6.04,10.9,4,2.94,1,False,0,57.269999999999996,1.6274509803921569,2.434020618556701,1.4440860215053766,2.725,0.01,1,100,28.22,0.0,0,0,547.3000000000001,1.6274508208381548,0,0,6.306822582410003,10000
SD,64,415,No,No,0,174.5,98,29.67,180.2,103,15.32,179.0,89,8.06,10.7,2,2.89,2,False,0,55.940000000000005,1.780612244897959,1.749514563106796,2.0112359550561796,5.35,0.03125,1,64,59.34,0.0,0,0,544.4000000000001,1.7806120632028506,0,0,6.301519470411488,4096
MD,116,510,Yes,Yes,27,175.5,137,29.84,210.6,60,17.9,294.8,121,13.27,6.9,5,1.86,1,False,0,62.86999999999999,1.281021897810219,3.51,2.4363636363636365,1.3800000000000001,0.008620689655172414,3,348,29.84,6.9,0,0,687.8000000000001,1.2810218043049777,1,1,6.534950953113521,13456
ND,147,408,Yes,Yes,35,157.5,109,26.78,189.6,67,16.12,227.0,76,10.22,11.1,2,3.0,3,True,1,56.120000000000005,1.444954128440367,2.8298507462686566,2.986842105263158,5.55,0.02040816326530612,3,441,80.34,11.1,0,0,585.2,1.4449539958757802,1,3,6.373661028276792,21609
MO,84,415,No,Yes,35,207.5,138,35.28,201.0,116,17.09,164.5,107,7.4,7.5,16,2.03,4,False,0,61.800000000000004,1.5036231884057971,1.7327586206896552,1.5373831775700935,0.46875,0.047619047619047616,2,168,141.12,0.0,0,0,580.5,1.5036230794476029,0,0,6.365610971958719,7056
IL,86,510,No,Yes,16,144.8,105,24.62,206.2,111,17.53,255.4,117,11.49,11.6,2,3.13,4,False,0,56.77000000000001,1.379047619047619,1.8576576576576576,2.182905982905983,5.8,0.046511627906976744,2,172,98.48,0.0,0,0,618.0,1.3790474877097632,0,0,6.428105272684596,7396
UT,134,415,No,No,0,258.8,85,44.0,129.5,114,11.01,193.6,106,8.71,10.9,7,2.94,2,False,0,66.66,3.0447058823529414,1.1359649122807018,1.8264150943396227,1.5571428571428572,0.014925373134328358,1,134,88.0,0.0,0,1,592.8,3.0447055241522913,0,0,6.38654256232966,17956
